fecha,lecturas,consumo_real_kwh,consumo_reportado_kwh
2026-01-01,120000,526315.49,518083.85
2026-01-02,120048,501638.43,493088.03
2026-01-03,120096,519227.44,510592.13
2026-01-04,120168,531565.7,521859.64
2026-01-05,120216,527305.24,520225.89
2026-01-06,120264,532948.16,527534.45
2026-01-07,120288,516933.25,510408.71
2026-01-08,120384,532072.86,522572.7
2026-01-09,120432,523637.54,520497.25
2026-01-10,120504,540224.07,536027.23
2026-01-11,120552,509401.38,506072.17
2026-01-12,120648,512442.45,505380.53
2026-01-13,120720,523912.54,515733.06
2026-01-14,120768,515249.16,510545.1
2026-01-15,120840,524560.24,522022.65
2026-01-16,120912,500718.41,495472.33
2026-01-17,120984,528477.51,525114.59
2026-01-18,121152,531045.48,529959.46
2026-01-19,121176,507844.2,504633.3
2026-01-20,121320,550869.19,541011.46
2026-01-21,121392,535099.61,526411.5
2026-01-22,121464,529592.72,525029.65
2026-01-23,121488,524840.71,518247.47
2026-01-24,121584,515294.2,509478.55
2026-01-25,121680,535356.07,530021.68
2026-01-26,121728,532126.63,526310.96
2026-01-27,121800,529034.89,523095.96
2026-01-28,121872,511090.33,507756.08
2026-01-29,121944,517903.74,513159.64
2026-01-30,121944,529601.14,527233.69
2026-01-31,122016,526870.22,520408.07
2026-02-01,122088,469924.38,463528.15
2026-02-02,122136,482744.56,475125.9
2026-02-03,122232,488619.93,483003.83
2026-02-04,122280,499083.33,490176.03
2026-02-05,122352,471964.53,462156.85
2026-02-06,122448,513040.95,508359.78
2026-02-07,122496,481395.67,474803.87
2026-02-08,122496,482386.31,473553.28
2026-02-09,122544,509980.82,502982.36
2026-02-10,122664,510125.6,504198.45
2026-02-11,122736,501112.31,495944.56
2026-02-12,122808,490137.28,483609.11
2026-02-13,122832,480125.12,472226.36
2026-02-14,122904,494813.58,487261.17
2026-02-15,123048,495042.53,485857.07
2026-02-16,123096,494217.05,484417.81
2026-02-17,123144,486510.94,480998.3
2026-02-18,123240,485034.1,479000.21
2026-02-19,123312,484892.47,475960.19
2026-02-20,123432,491464.24,482781.92
2026-02-21,123456,509015.27,504708.39
2026-02-22,123600,499606.63,496353.71
2026-02-23,123696,495018.61,484438.75
2026-02-24,123792,497713.15,489287.86
2026-02-25,123816,486437.54,477913.5
2026-02-26,123912,496394.37,487906.35
2026-02-27,123984,476570.64,466544.68
2026-02-28,124056,480373.65,472586.25
2026-03-01,124200,461734.72,456524.47
2026-03-02,124296,461174.78,452472.26
2026-03-03,124320,456760.43,450497.43
2026-03-04,124416,451968.26,446313.6
2026-03-05,124464,462648.69,452183.19
2026-03-06,124536,455479.15,446284.44
2026-03-07,124584,462648.88,450122.87
2026-03-08,124680,450980.13,435751.29
2026-03-09,124728,452074.24,438717.39
2026-03-10,124824,456639.03,444843.59
2026-03-11,124920,469627.59,460665.05
2026-03-12,125016,468442.3,458089.36
2026-03-13,125112,456117.03,441298.99
2026-03-14,125184,468103.6,464218.49
2026-03-15,125256,470157.66,464167.66
2026-03-16,125304,470336.76,466120.76
2026-03-17,125376,474596.65,470130.21
2026-03-18,125448,461270.76,451615.69
2026-03-19,125520,472150.05,462983.11
2026-03-20,125568,463464.99,457664.32
2026-03-21,125592,478639.39,467100.27
2026-03-22,125664,471343.84,464473.77
2026-03-23,125688,471691.27,464681.99
2026-03-24,125736,471446.23,466492.34
2026-03-25,125784,475289.8,469512.16
2026-03-26,125880,480959.97,473501.16
2026-03-27,125952,476514.42,469140.5
2026-03-28,126048,467196.71,461359.76
2026-03-29,126096,481866.07,476544.56
2026-03-30,126120,470986.74,462394.32
2026-03-31,126240,482298.69,478899.91
