categoria,hora,consumo_promedio_kwh
ALUMBRADO,0,27.4733
ALUMBRADO,1,30.1767
ALUMBRADO,2,29.8787
ALUMBRADO,3,26.6986
ALUMBRADO,4,21.5656
ALUMBRADO,5,15.8002
ALUMBRADO,6,10.5862
ALUMBRADO,7,6.5789
ALUMBRADO,8,3.9099
ALUMBRADO,9,2.3628
ALUMBRADO,10,1.5706
ALUMBRADO,11,1.2287
ALUMBRADO,12,1.1481
ALUMBRADO,13,1.2796
ALUMBRADO,14,1.7201
ALUMBRADO,15,2.7099
ALUMBRADO,16,4.6214
ALUMBRADO,17,7.8495
ALUMBRADO,18,12.6073
ALUMBRADO,19,18.6494
ALUMBRADO,20,25.1049
ALUMBRADO,21,30.5416
ALUMBRADO,22,33.5334
ALUMBRADO,23,33.2275
COMERCIAL,0,0.4021
COMERCIAL,1,0.429
COMERCIAL,2,0.4758
COMERCIAL,3,0.5655
COMERCIAL,4,0.7323
COMERCIAL,5,1.0238
COMERCIAL,6,1.4877
COMERCIAL,7,1.9881
COMERCIAL,8,2.5465
COMERCIAL,9,2.9481
COMERCIAL,10,3.3341
COMERCIAL,11,3.5559
COMERCIAL,12,3.6079
COMERCIAL,13,3.5408
COMERCIAL,14,3.4037
COMERCIAL,15,3.2449
COMERCIAL,16,2.892
COMERCIAL,17,2.4807
COMERCIAL,18,2.1135
COMERCIAL,19,1.6398
COMERCIAL,20,1.2133
COMERCIAL,21,0.879
COMERCIAL,22,0.6511
COMERCIAL,23,0.5183
MOVILIDAD,0,0.4598
MOVILIDAD,1,0.4609
MOVILIDAD,2,0.4659
MOVILIDAD,3,0.4807
MOVILIDAD,4,0.5129
MOVILIDAD,5,0.5732
MOVILIDAD,6,0.6572
MOVILIDAD,7,0.7406
MOVILIDAD,8,0.7884
MOVILIDAD,9,0.7775
MOVILIDAD,10,0.7142
MOVILIDAD,11,0.6302
MOVILIDAD,12,0.5637
MOVILIDAD,13,0.5358
MOVILIDAD,14,0.5541
MOVILIDAD,15,0.6142
MOVILIDAD,16,0.7003
MOVILIDAD,17,0.7831
MOVILIDAD,18,0.8288
MOVILIDAD,19,0.8182
MOVILIDAD,20,0.7553
MOVILIDAD,21,0.6665
MOVILIDAD,22,0.5822
MOVILIDAD,23,0.5219
PUBLICO,0,13.0677
PUBLICO,1,13.7617
PUBLICO,2,14.7912
PUBLICO,3,16.7211
PUBLICO,4,20.3613
PUBLICO,5,26.8352
PUBLICO,6,37.2246
PUBLICO,7,47.2864
PUBLICO,8,57.2173
PUBLICO,9,60.9083
PUBLICO,10,63.3376
PUBLICO,11,61.8304
PUBLICO,12,57.7905
PUBLICO,13,53.2452
PUBLICO,14,49.109
PUBLICO,15,45.343
PUBLICO,16,38.8664
PUBLICO,17,31.8479
PUBLICO,18,26.4558
PUBLICO,19,20.4918
PUBLICO,20,16.318
PUBLICO,21,13.9594
PUBLICO,22,12.9923
PUBLICO,23,12.8295
RESIDENCIAL,0,0.3662
RESIDENCIAL,1,0.3851
RESIDENCIAL,2,0.4125
RESIDENCIAL,3,0.4702
RESIDENCIAL,4,0.6022
RESIDENCIAL,5,0.847
RESIDENCIAL,6,1.165
RESIDENCIAL,7,1.2727
RESIDENCIAL,8,1.1631
RESIDENCIAL,9,0.8757
RESIDENCIAL,10,0.6108
RESIDENCIAL,11,0.4317
RESIDENCIAL,12,0.3464
RESIDENCIAL,13,0.3258
RESIDENCIAL,14,0.3566
RESIDENCIAL,15,0.4536
RESIDENCIAL,16,0.6009
RESIDENCIAL,17,0.8263
RESIDENCIAL,18,1.1369
RESIDENCIAL,19,1.4219
RESIDENCIAL,20,1.6149
RESIDENCIAL,21,1.6522
RESIDENCIAL,22,1.5208
RESIDENCIAL,23,1.2736
SERVICIO,0,62.831
SERVICIO,1,64.8226
SERVICIO,2,67.8843
SERVICIO,3,71.9217
SERVICIO,4,77.0443
SERVICIO,5,82.6917
SERVICIO,6,88.3839
SERVICIO,7,90.9409
SERVICIO,8,91.811
SERVICIO,9,89.5704
SERVICIO,10,86.5833
SERVICIO,11,82.8335
SERVICIO,12,79.3188
SERVICIO,13,77.1022
SERVICIO,14,76.3232
SERVICIO,15,77.4289
SERVICIO,16,78.652
SERVICIO,17,80.3047
SERVICIO,18,82.1352
SERVICIO,19,81.6621
SERVICIO,20,79.8478
SERVICIO,21,77.1321
SERVICIO,22,73.6777
SERVICIO,23,70.4483
