fecha,hora_24,lecturas,consumo_real_kwh,consumo_reportado_kwh,hora_ampm
2026-01-01,0,5000,19686.33,19686.64,12 AM
2026-01-01,1,5000,21827.31,21735.94,1 AM
2026-01-01,2,5000,23484.55,23305.31,2 AM
2026-01-01,3,5000,24003.06,23810.7,3 AM
2026-01-01,4,5000,23758.2,23518.26,4 AM
2026-01-01,5,5000,23185.39,22936.83,5 AM
2026-01-01,6,5000,23466.61,23204.72,6 AM
2026-01-01,7,5000,23564.81,23328.56,7 AM
2026-01-01,8,5000,23744.17,23500.74,8 AM
2026-01-01,9,5000,22720.64,22523.13,9 AM
2026-01-01,10,5000,21350.81,21160.42,10 AM
2026-01-01,11,5000,19715.11,19536.05,11 AM
2026-01-01,12,5000,18313.3,18149.76,12 PM
2026-01-01,13,5000,16912.7,16759.26,1 PM
2026-01-01,14,5000,15626.25,15486.18,2 PM
2026-01-01,15,5000,15677.45,15521.24,3 PM
2026-01-01,16,5000,15879.19,15587.71,4 PM
2026-01-01,17,5000,16691.69,16273.28,5 PM
2026-01-01,18,5000,19214.35,18624.75,6 PM
2026-01-01,19,5000,22043.48,21434.33,7 PM
2026-01-01,20,5000,25380.21,24607.26,8 PM
2026-01-01,21,5000,28472.53,27536.97,9 PM
2026-01-01,22,5000,30529.18,29660.36,10 PM
2026-01-01,23,5000,31068.15,30195.44,11 PM
2026-01-02,0,5002,18282.18,17770.36,12 AM
2026-01-02,1,5002,19255.84,18707.57,1 AM
2026-01-02,2,5002,19362.43,18879.89,2 AM
2026-01-02,3,5002,18951.87,18446.72,3 AM
2026-01-02,4,5002,18798.8,18286.07,4 AM
2026-01-02,5,5002,19821.64,19260.82,5 AM
2026-01-02,6,5002,22317.5,21830.11,6 AM
2026-01-02,7,5002,23860.36,23498.03,7 AM
2026-01-02,8,5002,24402.86,24071.79,8 AM
2026-01-02,9,5002,23306.01,22993.91,9 AM
2026-01-02,10,5002,21964.17,21795.99,10 AM
2026-01-02,11,5002,20473.48,20335.76,11 AM
2026-01-02,12,5002,18668.73,18544.9,12 PM
2026-01-02,13,5002,17837.89,17717.77,1 PM
2026-01-02,14,5002,17362.72,17255.43,2 PM
2026-01-02,15,5002,17600.19,17478.27,3 PM
2026-01-02,16,5002,17831.8,17697.74,4 PM
2026-01-02,17,5002,18866.92,18704.7,5 PM
2026-01-02,18,5002,21087.73,20846.73,6 PM
2026-01-02,19,5002,22807.86,22402.65,7 PM
2026-01-02,20,5002,24776.78,24273.55,8 PM
2026-01-02,21,5002,25752.87,25199.5,9 PM
2026-01-02,22,5002,25195.31,24576.38,10 PM
2026-01-02,23,5002,23052.48,22513.38,11 PM
2026-01-03,0,5004,18587.51,18236.13,12 AM
2026-01-03,1,5004,20415.56,20018.46,1 AM
2026-01-03,2,5004,21475.09,21185.43,2 AM
2026-01-03,3,5004,21334.5,21043.06,3 AM
2026-01-03,4,5004,20800.0,20532.09,4 AM
2026-01-03,5,5004,20565.96,20250.26,5 AM
2026-01-03,6,5004,21305.78,20999.22,6 AM
2026-01-03,7,5004,22311.16,22007.34,7 AM
2026-01-03,8,5004,23410.01,23109.86,8 AM
2026-01-03,9,5004,22823.8,22515.46,9 AM
2026-01-03,10,5004,22168.43,21897.21,10 AM
2026-01-03,11,5004,21107.64,20854.47,11 AM
2026-01-03,12,5004,19999.71,19732.49,12 PM
2026-01-03,13,5004,18545.36,18229.03,1 PM
2026-01-03,14,5004,17205.11,16906.77,2 PM
2026-01-03,15,5004,16637.78,16369.61,3 PM
2026-01-03,16,5004,17274.36,16918.94,4 PM
2026-01-03,17,5004,18362.19,18020.84,5 PM
2026-01-03,18,5004,20653.41,20277.55,6 PM
2026-01-03,19,5004,23204.58,22750.04,7 PM
2026-01-03,20,5004,25856.32,25308.74,8 PM
2026-01-03,21,5004,28064.4,27488.95,9 PM
2026-01-03,22,5004,28934.2,28320.92,10 PM
