hora_24,consumo_real_promedio,consumo_reportado_promedio,lecturas_promedio,hora_ampm,diferencia_kwh
0,18088.72077777778,17850.809111111113,5128.488888888889,12 AM,237.91166666666686
1,19375.375444444446,19126.24088888889,5128.488888888889,1 AM,249.1345555555563
2,19795.54977777778,19539.68,5128.488888888889,2 AM,255.86977777777793
3,19569.407888888887,19311.94855555556,5128.488888888889,3 AM,257.4593333333287
4,19346.277777777777,19073.251777777776,5128.488888888889,4 AM,273.02600000000166
5,19893.987111111113,19606.293555555556,5128.488888888889,5 AM,287.6935555555574
6,21614.463666666667,21290.24,5128.488888888889,6 AM,324.22366666666494
7,22630.531888888887,22288.305,5128.488888888889,7 AM,342.2268888888866
8,23103.29622222222,22746.833555555557,5128.488888888889,8 AM,356.4626666666627
9,21963.087666666666,21627.337333333333,5128.488888888889,9 AM,335.7503333333334
10,20906.059777777777,20609.037222222225,5128.488888888889,10 AM,297.02255555555166
11,19610.088666666667,19323.726777777778,5128.488888888889,11 AM,286.36188888888864
12,18342.179,18062.65822222222,5128.488888888889,12 PM,279.5207777777796
13,17390.993777777778,17117.783666666666,5128.488888888889,1 PM,273.2101111111115
14,16910.076111111113,16651.974222222223,5128.488888888889,2 PM,258.10188888889024
15,17087.61488888889,16830.70966666667,5128.488888888889,3 PM,256.9052222222199
16,17303.14422222222,17042.759888888886,5128.488888888889,4 PM,260.38433333333523
17,18216.44111111111,17948.067222222224,5128.488888888889,5 PM,268.37388888888745
18,20284.702222222222,19997.222555555556,5128.488888888889,6 PM,287.47966666666616
19,22382.365666666665,22071.711444444445,5128.488888888889,7 PM,310.6542222222197
20,24442.380777777777,24099.646888888892,5128.488888888889,8 PM,342.7338888888844
21,25768.095444444443,25409.272444444443,5128.488888888889,9 PM,358.8230000000003
22,25767.129111111113,25413.98522222222,5128.488888888889,10 PM,353.1438888888915
23,24336.404444444444,24009.812222222223,5128.488888888889,11 PM,326.5922222222216
